angle1	rate1	angle2	rate2	angle3	rate3	angle4	rate4	angle5	rate5	angle6	rate6	angle7	rate7	angle8	rate8
3	17	3	13	3	7	3	23	3	10	3	23	3	0	3	7
3.1	10	3.1	33	3.1	7	3.1	13	3.1	3	3.1	33	3.1	3	3.1	13
3.2	40	3.2	23	3.2	7	3.2	27	3.2	13	3.2	43	3.2	23	3.2	3
3.3	27	3.3	60	3.3	13	3.3	13	3.3	0	3.3	70	3.3	47	3.3	3
3.4	20	3.4	190	3.4	10	3.4	10	3.4	20	3.4	57	3.4	80	3.4	17
3.5	20	3.5	313	3.5	20	3.5	17	3.5	60	3.5	87	3.5	140	3.5	23
3.6	30	3.6	423	3.6	67	3.6	20	3.6	170	3.6	127	3.6	240	3.6	57
3.7	53	3.7	503	3.7	140	3.7	50	3.7	383	3.7	130	3.7	290	3.7	137
3.8	33	3.8	533	3.8	237	3.8	27	3.8	493	3.8	123	3.8	260	3.8	277
3.9	90	3.9	533	3.9	387	3.9	37	3.9	550	3.9	130	3.9	323	3.9	433
4	57	4	590	4	513	4	50	4	707	4	130	4	323	4	493
4.1	93	4.1	593	4.1	563	4.1	77	4.1	833	4.1	103	4.1	273	4.1	593
4.2	93	4.2	637	4.2	603	4.2	63	4.2	870	4.2	127	4.2	367	4.2	630
4.3	67	4.3	553	4.3	687	4.3	50	4.3	850	4.3	130	4.3	283	4.3	753
4.4	80	4.4	587	4.4	627	4.4	90	4.4	947	4.4	150	4.4	297	4.4	887
4.5	77	4.5	620	4.5	653	4.5	103	4.5	940	4.5	117	4.5	313	4.5	807
4.6	93	4.6	537	4.6	663	4.6	100	4.6	867	4.6	147	4.6	350	4.6	837
4.7	77	4.7	630	4.7	737	4.7	97	4.7	870	4.7	117	4.7	280	4.7	813
4.8	80	4.8	583	4.8	730	4.8	117	4.8	957	4.8	123	4.8	277	4.8	847
4.9	93	4.9	590	4.9	630	4.9	120	4.9	897	4.9	130	4.9	313	4.9	813
5	93	5	553	5	667	5	127	5	890	5	97	5	263	5	873
5.1	57	5.1	543	5.1	580	5.1	113	5.1	860	5.1	113	5.1	263	5.1	803
5.2	90	5.2	580	5.2	590	5.2	107	5.2	783	5.2	90	5.2	267	5.2	897
5.3	80	5.3	543	5.3	657	5.3	113	5.3	747	5.3	107	5.3	233	5.3	800
5.4	97	5.4	530	5.4	610	5.4	113	5.4	897	5.4	97	5.4	200	5.4	797
5.5	80	5.5	500	5.5	623	5.5	140	5.5	813	5.5	100	5.5	253	5.5	730
5.6	53	5.6	463	5.6	617	5.6	117	5.6	673	5.6	97	5.6	230	5.6	763
5.7	90	5.7	343	5.7	667	5.7	120	5.7	743	5.7	103	5.7	190	5.7	737
5.8	103	5.8	463	5.8	597	5.8	113	5.8	657	5.8	100	5.8	233	5.8	717
5.9	110	5.9	437	5.9	580	5.9	100	5.9	750	5.9	133	5.9	223	5.9	747
6	117	6	520	6	597	6	143	6	750	6	137	6	247	6	660
6.1	120	6.1	797	6.1	503	6.1	137	6.1	653	6.1	140	6.1	350	6.1	627
6.2	123	6.2	947	6.2	540	6.2	133	6.2	723	6.2	123	6.2	430	6.2	710
6.3	130	6.3	787	6.3	617	6.3	113	6.3	1053	6.3	143	6.3	300	6.3	823
6.4	120	6.4	620	6.4	847	6.4	130	6.4	1403	6.4	143	6.4	243	6.4	1043
6.5	140	6.5	490	6.5	1107	6.5	143	6.5	1390	6.5	103	6.5	260	6.5	1377
6.6	153	6.6	470	6.6	1157	6.6	137	6.6	1103	6.6	183	6.6	237	6.6	1410
6.7	143	6.7	423	6.7	897	6.7	193	6.7	800	6.7	233	6.7	197	6.7	1043
6.8	173	6.8	587	6.8	630	6.8	240	6.8	620	6.8	207	6.8	257	6.8	687
6.9	200	6.9	1327	6.9	543	6.9	170	6.9	640	6.9	263	6.9	780	6.9	650
7	180	7	1923	7	563	7	127	7	687	7	263	7	930	7	607
7.1	230	7.1	1877	7.1	653	7.1	193	7.1	1407	7.1	333	7.1	853	7.1	823
7.2	217	7.2	1323	7.2	1220	7.2	173	7.2	2623	7.2	303	7.2	627	7.2	1563
7.3	280	7.3	787	7.3	2000	7.3	280	7.3	2833	7.3	270	7.3	363	7.3	2703
7.4	380	7.4	590	7.4	2303	7.4	307	7.4	2257	7.4	153	7.4	360	7.4	2927
7.5	337	7.5	477	7.5	1903	7.5	343	7.5	1080	7.5	157	7.5	287	7.5	2200
7.6	447	7.6	367	7.6	1010	7.6	293	7.6	577	7.6	147	7.6	223	7.6	1010
7.7	330	7.7	353	7.7	477	7.7	247	7.7	527	7.7	147	7.7	193	7.7	507
7.8	93	7.8	373	7.8	403	7.8	73	7.8	540	7.8	113	7.8	233	7.8	483
7.9	70	7.9	357	7.9	343	7.9	67	7.9	507	7.9	120	7.9	167	7.9	483
8	80	8	277	8	327	8	67	8	437	8	103	8	167	8	417
8.1	83	8.1	327	8.1	357	8.1	57	8.1	447	8.1	107	8.1	180	8.1	353
8.2	70	8.2	320	8.2	310	8.2	80	8.2	337	8.2	97	8.2	187	8.2	393
8.3	83	8.3	217	8.3	303	8.3	60	8.3	367	8.3	120	8.3	153	8.3	420
8.4	90	8.4	280	8.4	297	8.4	27	8.4	380	8.4	87	8.4	160	8.4	357
8.5	83	8.5	217	8.5	283	8.5	60	8.5	403	8.5	80	8.5	170	8.5	383
