angle1	rate1	angle2	rate2	angle3	rate3	angle4	rate4	angle5	rate5	angle6	rate6	angle7	rate7	angle8	rate8
8.6	40	8.6	250	8.6	280	8.6	63	8.6	317	8.6	77	8.6	137	8.6	380
8.7	77	8.7	253	8.7	273	8.7	57	8.7	340	8.7	83	8.7	133	8.7	320
8.8	70	8.8	213	8.8	263	8.8	53	8.8	303	8.8	53	8.8	153	8.8	277
8.9	63	8.9	183	8.9	230	8.9	70	8.9	307	8.9	97	8.9	173	8.9	270
9	63	9	247	9	213	9	43	9	267	9	60	9	113	9	257
9.1	57	9.1	190	9.1	240	9.1	63	9.1	247	9.1	60	9.1	123	9.1	197
9.2	47	9.2	130	9.2	187	9.2	23	9.2	283	9.2	87	9.2	133	9.2	270
9.3	37	9.3	177	9.3	207	9.3	57	9.3	237	9.3	77	9.3	113	9.3	293
9.4	57	9.4	197	9.4	153	9.4	40	9.4	287	9.4	63	9.4	100	9.4	240
9.5	87	9.5	193	9.5	163	9.5	27	9.5	173	9.5	63	9.5	103	9.5	213
9.6	30	9.6	170	9.6	147	9.6	37	9.6	220	9.6	47	9.6	110	9.6	203
9.7	50			9.7	187	9.7	27	9.7	170	9.7	50	9.7	110	9.7	190
9.8	30			9.8	160	9.8	30	9.8	170	9.8	43	9.8	133	9.8	177
9.9	50			9.9	143	9.9	33	9.9	187	9.9	63	9.9	83	9.9	150
10	30			10	173	10	50	10	170	10	47	10	87	10	163
