angle1	rate1	angle2	rate2	angle3	rate3	angle4	rate4
16.6	74	16.6	73	16.6	103	16.6	64
16.7	93	16.7	69	16.7	93	16.7	49
16.8	87	16.8	74	16.8	97	16.8	71
16.9	95	16.9	70	16.9	85	16.9	66
17	68	17	62	17	88	17	59
17.1	79	17.1	68	17.1	88	17.1	96
17.2	83	17.2	82	17.2	92	17.2	68
17.3	87	17.3	67	17.3	86	17.3	83
17.4	83	17.4	72	17.4	85	17.4	78
17.5	110	17.5	79	17.5	98	17.5	69
17.6	93	17.6	67	17.6	98	17.6	73
17.7	87	17.7	73	17.7	111	17.7	72
17.8	81	17.8	61	17.8	79	17.8	70
17.9	90	17.9	78	17.9	77	17.9	64
18	84	18	81	18	94	18	64
18.1	68	18.1	70	18.1	101	18.1	70
18.2	91	18.2	89	18.2	97	18.2	55
18.3	71	18.3	63	18.3	82	18.3	78
18.4	83	18.4	95	18.4	85	18.4	60
18.5	77	18.5	77	18.5	88	18.5	81
18.6	82	18.6	86	18.6	104	18.6	74
18.7	62	18.7	73	18.7	73	18.7	53
18.8	82	18.8	59	18.8	86	18.8	61
18.9	82	18.9	63	18.9	82	18.9	71
19	71	19	85	19	91	19	60
19.1	79	19.1	71	19.1	85	19.1	63
19.2	85	19.2	85	19.2	86	19.2	75
19.3	84	19.3	74	19.3	58	19.3	78
19.4	86	19.4	64	19.4	92	19.4	88
19.5	75	19.5	73	19.5	75	19.5	79
19.6	97	19.6	72	19.6	87	19.6	76
19.7	127	19.7	74	19.7	132	19.7	72
19.8	162	19.8	80	19.8	169	19.8	62
19.9	146	19.9	78	19.9	147	19.9	76
20	101	20	71	20	134	20	63
20.1	97	20.1	71	20.1	93	20.1	66
20.2	102	20.2	69	20.2	87	20.2	69
20.3	82	20.3	65	20.3	82	20.3	72
20.4	90	20.4	79	20.4	81	20.4	61
20.5	79	20.5	77	20.5	89	20.5	71
20.6	77	20.6	64	20.6	85	20.6	88
20.7	59	20.7	69	20.7	86	20.7	73
20.8	95	20.8	61	20.8	94	20.8	72
20.9	79	20.9	97	20.9	76	20.9	72
21	83	21	68	21	71	21	76
21.1	81	21.1	96	21.1	77	21.1	75
21.2	69	21.2	78	21.2	78	21.2	74
21.3	70	21.3	72	21.3	93	21.3	77
21.4	74	21.4	64	21.4	86	21.4	64
21.5	95	21.5	64	21.5	100	21.5	83
21.6	92	21.6	80	21.6	82	21.6	78
21.7	80	21.7	74	21.7	81	21.7	64
21.8	86	21.8	82	21.8	61	21.8	63
21.9	83	21.9	83	21.9	90	21.9	77
22	95	22	66	22	73	22	68
22.1	79	22.1	78	22.1	90	22.1	69
22.2	82	22.2	70	22.2	73	22.2	77
22.3	70	22.3	70	22.3	90	22.3	57
22.4	77	22.4	86	22.4	91	22.4	67
22.5	76	22.5	70	22.5	96	22.5	81
22.6	70	22.6	70	22.6	77	22.6	66
22.7	78	22.7	74	22.7	68	22.7	66
22.8	80	22.8	71	22.8	77	22.8	61
22.9	74	22.9	68	22.9	83	22.9	67
23	67	23	66	23	76	23	68
23.1	84	23.1	66	23.1	87	23.1	74
23.2	101	23.2	61	23.2	78	23.2	63
23.3	92	23.3	76	23.3	98	23.3	64
23.4	73	23.4	71	23.4	86	23.4	52
23.5	69	23.5	72	23.5	82	23.5	77
23.6	85	23.6	70	23.6	87	23.6	77
23.7	88	23.7	72	23.7	95	23.7	62
23.8	78	23.8	89	23.8	104	23.8	72
23.9	94	23.9	66	23.9	81	23.9	74
24	93	24	61	24	70	24	48
24.1	78	24.1	60	24.1	77	24.1	68
24.2	72	24.2	66	24.2	72	24.2	83
24.3	85	24.3	76	24.3	82	24.3	74
24.4	81	24.4	76	24.4	85	24.4	61
24.5	87	24.5	73	24.5	80	24.5	75
24.6	82	24.6	62	24.6	85	24.6	66
24.7	68	24.7	75	24.7	81	24.7	69
24.8	71	24.8	69	24.8	80	24.8	64
24.9	79	24.9	88	24.9	95	24.9	73
25	76	25	67	25	88	25	67
25.1	85	25.1	80	25.1	74	25.1	69
25.2	65	25.2	66	25.2	80	25.2	84
25.3	95	25.3	76	25.3	74	25.3	56
25.4	82	25.4	72	25.4	87	25.4	65
25.5	66	25.5	76	25.5	73	25.5	75
25.6	94	25.6	80	25.6	74	25.6	66
25.7	68	25.7	78	25.7	78	25.7	60
25.8	67	25.8	64	25.8	73	25.8	69
25.9	70	25.9	68	25.9	64	25.9	72
26	67	26	70	26	94	26	82
26.1	70	26.1	76	26.1	85	26.1	71
26.2	74	26.2	86	26.2	80	26.2	61
26.3	75	26.3	79	26.3	76	26.3	63
26.4	79	26.4	69	26.4	62	26.4	67
26.5	74	26.5	78	26.5	64	26.5	75
26.6	72	26.6	77	26.6	75	26.6	78
26.7	87	26.7	85	26.7	93	26.7	73
26.8	120	26.8	66	26.8	118	26.8	67
26.9	126	26.9	53	26.9	111	26.9	79
27	106	27	65	27	111	27	66
27.1	88	27.1	61	27.1	112	27.1	69
27.2	71	27.2	65	27.2	86	27.2	69
27.3	83	27.3	76	27.3	72	27.3	75
27.4	80	27.4	82	27.4	68	27.4	69
27.5	64	27.5	69	27.5	63	27.5	68
27.6	91	27.6	68	27.6	66	27.6	78
27.7	73	27.7	76	27.7	75	27.7	63
27.8	68	27.8	71	27.8	67	27.8	58
27.9	82	27.9	75	27.9	76	27.9	53
28	66	28	79	28	72	28	72
28.1	91	28.1	67	28.1	77	28.1	68
28.2	79	28.2	71	28.2	81	28.2	56
28.3	81	28.3	75	28.3	82	28.3	78
28.4	62	28.4	60	28.4	94	28.4	75
28.5	64	28.5	67	28.5	79	28.5	66
28.6	73	28.6	70	28.6	80	28.6	75
28.7	83	28.7	73	28.7	71	28.7	87
28.8	83	28.8	72	28.8	73	28.8	75
28.9	71	28.9	76	28.9	90	28.9	78
29	75	29	76	29	84	29	70
29.1	83	29.1	73	29.1	78	29.1	65
29.2	75	29.2	63	29.2	73	29.2	81
29.3	79	29.3	78	29.3	74	29.3	65
29.4	82	29.4	79	29.4	75	29.4	63
29.5	77	29.5	66	29.5	76	29.5	74
29.6	76	29.6	67	29.6	75	29.6	48
