angle1	rate1	angle2	rate2	angle3	rate3	angle4	rate4
16.6	45	16.6	63	16.6	52	16.6	79
16.7	69	16.7	51	16.7	49	16.7	91
16.8	68	16.8	53	16.8	48	16.8	67
16.9	70	16.9	47	16.9	53	16.9	106
17	73	17	48	17	46	17	63
17.1	70	17.1	60	17.1	53	17.1	68
17.2	71	17.2	41	17.2	45	17.2	91
17.3	90	17.3	44	17.3	49	17.3	92
17.4	93	17.4	75	17.4	59	17.4	101
17.5	97	17.5	76	17.5	80	17.5	149
17.6	95	17.6	72	17.6	50	17.6	140
17.7	73	17.7	49	17.7	48	17.7	129
17.8	57	17.8	51	17.8	73	17.8	95
17.9	58	17.9	51	17.9	45	17.9	72
18	59	18	38	18	50	18	59
18.1	67	18.1	34	18.1	46	18.1	67
18.2	57	18.2	39	18.2	41	18.2	68
18.3	57	18.3	38	18.3	33	18.3	65
18.4	71	18.4	41	18.4	49	18.4	45
18.5	45	18.5	44	18.5	50	18.5	57
18.6	48	18.6	40	18.6	42	18.6	60
18.7	56	18.7	31	18.7	50	18.7	69
18.8	55	18.8	40	18.8	45	18.8	62
18.9	42	18.9	56	18.9	49	18.9	72
19	57	19	39	19	56	19	57
19.1	56	19.1	38	19.1	44	19.1	47
19.2	62	19.2	38	19.2	34	19.2	48
19.3	53	19.3	37	19.3	42	19.3	53
19.4	49	19.4	36	19.4	35	19.4	57
19.5	70	19.5	44	19.5	34	19.5	56
19.6	111	19.6	43	19.6	57	19.6	88
19.7	148	19.7	55	19.7	76	19.7	188
19.8	154	19.8	95	19.8	105	19.8	204
19.9	100	19.9	65	19.9	70	19.9	200
20	47	20	43	20	51	20	136
20.1	60	20.1	39	20.1	45	20.1	91
20.2	43	20.2	44	20.2	26	20.2	57
20.3	59	20.3	39	20.3	44	20.3	41
20.4	51	20.4	29	20.4	42	20.4	54
20.5	44	20.5	29	20.5	33	20.5	63
20.6	47	20.6	36	20.6	35	20.6	54
20.7	37	20.7	32	20.7	43	20.7	68
20.8	37	20.8	35	20.8	35	20.8	40
20.9	40	20.9	30	20.9	37	20.9	44
21	42	21	36	21	30	21	54
21.1	40	21.1	35	21.1	37	21.1	38
21.2	29	21.2	45	21.2	40	21.2	38
21.3	42	21.3	35	21.3	31	21.3	33
21.4	35	21.4	26	21.4	37	21.4	44
21.5	44	21.5	32	21.5	32	21.5	45
21.6	36	21.6	36	21.6	36	21.6	50
21.7	40	21.7	34	21.7	27	21.7	55
21.8	43	21.8	39	21.8	34	21.8	33
21.9	26	21.9	27	21.9	24	21.9	30
22	46	22	36	22	33	22	28
22.1	33	22.1	32	22.1	27	22.1	33
22.2	42	22.2	24	22.2	32	22.2	45
22.3	30	22.3	26	22.3	26	22.3	36
22.4	42	22.4	34	22.4	37	22.4	34
22.5	32	22.5	29	22.5	27	22.5	48
22.6	43	22.6	33	22.6	42	22.6	43
22.7	37	22.7	22	22.7	17	22.7	35
22.8	29	22.8	24	22.8	27	22.8	45
22.9	33	22.9	29	22.9	27	22.9	41
23	36	23	32	23	21	23	36
23.1	27	23.1	30	23.1	21	23.1	38
23.2	37	23.2	19	23.2	35	23.2	42
23.3	27	23.3	36	23.3	26	23.3	30
23.4	32	23.4	27	23.4	30	23.4	25
23.5	35	23.5	26	23.5	29	23.5	38
23.6	33	23.6	24	23.6	30	23.6	39
23.7	31	23.7	29	23.7	31	23.7	41
23.8	33	23.8	19	23.8	31	23.8	34
23.9	35	23.9	25	23.9	26	23.9	39
24	37	24	34	24	39	24	36
24.1	31	24.1	29	24.1	37	24.1	30
24.2	40	24.2	23	24.2	34	24.2	40
24.3	40	24.3	34	24.3	28	24.3	48
24.4	58	24.4	37	24.4	40	24.4	42
24.5	63	24.5	43	24.5	47	24.5	49
