angle	rate
3	7.8
3.1	8.4
3.2	7.6
3.3	9.8
3.4	8.2
3.5	7
3.6	6.2
3.7	7.6
3.8	8
3.9	8.4
4	9.6
4.1	8
4.2	7.8
4.3	7
4.4	8.8
4.5	8.6
4.6	7.2
4.7	7.8
4.8	9.8
4.9	9.2
5	7.8
5.1	5.8
5.2	8.8
5.3	7
5.4	8.6
5.5	11.6
5.6	6.8
5.7	9.2
5.8	11.6
5.9	12.4
6	17.8
6.1	23.2
6.2	27
6.3	28
6.4	34
6.5	29.8
6.6	35
6.7	29.6
6.8	33.4
6.9	29.4
7	34.2
7.1	26.8
7.2	33.6
7.3	27.8
7.4	31
7.5	26.2
7.6	32.8
7.7	34.8
7.8	30.2
7.9	33.6
8	38
8.1	37.4
8.2	40.2
8.3	39
8.4	37.8
8.5	45.6
8.6	36.2
8.7	37.2
8.8	40.8
8.9	41
9	33.8
9.1	33.2
9.2	35.6
9.3	34
9.4	38
9.5	31.6
9.6	34.2
9.7	41.8
9.8	31.4
9.9	32.8
10	38.6
10.1	37.6
10.2	42.8
10.3	40.2
10.4	43
10.5	39.4
10.6	46.2
10.7	39.2
10.8	39.2
10.9	40
11	43.6
11.1	41.8
11.2	42.8
11.3	42
11.4	43.2
11.5	42.2
11.6	38.2
11.7	38.8
11.8	36.6
11.9	38
12	35.8
12.1	33.2
12.2	35.2
12.3	27.2
12.4	30.6
12.5	29
12.6	30.4
12.7	29.6
12.8	28.8
12.9	27
13	24.4
13.1	29
13.2	24.4
13.3	25.6
13.4	21.6
13.5	28.8
13.6	28.2
13.7	28.4
13.8	23.2
13.9	24.6
14	25.8
14.1	25.4
14.2	25
14.3	25.8
14.4	25
14.5	26.6
14.6	28.8
14.7	25
14.8	25.8
14.9	32
15	33
15.1	42.2
15.2	100.6
15.3	168.4
15.4	127.4
15.5	67
15.6	29
15.7	38.4
15.8	29.4
15.9	29
16	27
16.1	29.2
16.2	28.6
16.3	24.6
16.4	26.2
16.5	21.6
16.6	21.8
16.7	24.2
16.8	20
16.9	24.4
17	22.8
17.1	23
17.2	22
17.3	20.8
17.4	23.6
17.5	21.2
17.6	24.6
17.7	26.8
17.8	22.2
17.9	19.2
18	23.8
18.1	21.4
18.2	17.8
18.3	20.8
18.4	21.2
18.5	16.4
18.6	16.4
18.7	18.8
18.8	18
18.9	16.4
19	15.2
19.1	17.6
19.2	18.8
19.3	19.8
19.4	20.4
19.5	24.6
19.6	25.8
19.7	39.4
19.8	76.4
19.9	94
20	76.8
20.1	38.4
20.2	16.8
20.3	20.8
20.4	16.6
20.5	15.6
20.6	16.2
20.7	14
20.8	16.6
20.9	15.2
21	11.2
21.1	13.2
21.2	15.4
21.3	14.8
21.4	11.8
21.5	12.4
21.6	13
21.7	10.4
21.8	11.2
21.9	10.4
22	12
22.1	11
22.2	11.6
22.3	10.2
22.4	13.4
22.5	10
22.6	9.2
22.7	8.6
22.8	6.6
22.9	10.6
23	9.2
23.1	10.2
23.2	8
23.3	10
23.4	8.4
23.5	10
23.6	9.2
23.7	9
23.8	9
23.9	8.2
24	10.8
24.1	10.4
24.2	7.4
24.3	11
24.4	7.2
24.5	7.6
24.6	9.8
24.7	8.4
24.8	10
24.9	7
25	7.8
25.1	7.4
25.2	7.6
25.3	6.4
25.4	7.6
25.5	6.8
25.6	9.2
25.7	7.2
25.8	7
25.9	4.2
26	6.8
26.1	5.4
26.2	5.2
26.3	7.2
26.4	6
26.5	6.4
26.6	6
26.7	7
26.8	5.4
26.9	7.6
27	7.2
27.1	9
27.2	9.4
27.3	8
27.4	10
27.5	7.8
27.6	15.8
27.7	31.4
27.8	58.8
27.9	66
28	46.8
28.1	28.6
28.2	13
28.3	8.2
28.4	5.4
28.5	11
28.6	5.6
28.7	6.2
28.8	7.6
28.9	9
29	8
29.1	6.6
29.2	7.6
29.3	8.8
29.4	7.4
29.5	5.8
29.6	7.2
29.7	6
29.8	6.2
29.9	7
30	5.2
30.1	6.8
30.2	6.2
30.3	4.6
30.4	4.6
30.5	5
30.6	4.2
30.7	7
30.8	7.4
30.9	6.8
31	8
31.1	8
31.2	8.8
31.3	7.2
31.4	17.4
31.5	33.2
31.6	64.8
31.7	49.6
31.8	42
31.9	21.6
32	15
32.1	7.4
32.2	7.4
32.3	7.6
32.4	7
32.5	5.6
32.6	6.2
32.7	6.4
32.8	7
32.9	6.8
33	5.2
33.1	5.2
33.2	6.8
33.3	5.6
33.4	6.2
33.5	4.8
33.6	3.6
33.7	5.6
33.8	7.2
33.9	5
34	6.2
34.1	3.8
34.2	6
34.3	3.8
34.4	3.4
34.5	5.4
34.6	4.8
34.7	4.2
34.8	4.8
34.9	4.4
35	5
