angle	rate
3	10.2
3.1	11.6
3.2	13.2
3.3	27
3.4	72.8
3.5	109.4
3.6	142
3.7	162.6
3.8	177.6
3.9	188.8
4	202.8
4.1	207.2
4.2	201
4.3	197.4
4.4	207.6
4.5	205.8
4.6	203
4.7	199.2
4.8	195.8
4.9	194
5	200.6
5.1	162.6
5.2	159.6
5.3	167.8
5.4	165.4
5.5	155
5.6	162.6
5.7	188.6
5.8	314.8
5.9	363.6
6	242.8
6.1	148.2
6.2	137
6.3	128.6
6.4	193.6
6.5	511.2
6.6	741.2
6.7	575.8
6.8	190.2
6.9	99
7	92.2
7.1	81.8
7.2	83.2
7.3	72.6
7.4	67.2
7.5	56.6
7.6	60.2
7.7	49.4
7.8	55.8
7.9	53
8	47.6
8.1	49.4
8.2	40
8.3	43.6
8.4	40.8
8.5	37
8.6	37.8
8.7	30.8
8.8	30
8.9	32.6
9	31.2
9.1	26.4
9.2	31.2
9.3	26.8
9.4	26.2
9.5	26
9.6	27.4
9.7	27.4
9.8	25.4
9.9	28
10	32.6
10.1	27.8
10.2	31
10.3	31.6
10.4	34.4
10.5	34.4
10.6	37.2
10.7	36.8
10.8	36.6
10.9	37.8
11	39
11.1	37.4
11.2	37.8
11.3	36.2
11.4	38.2
11.5	38.4
11.6	45.2
11.7	36.6
11.8	44.4
11.9	38.8
12	38.4
12.1	39.2
12.2	42.6
12.3	43.4
12.4	40.6
12.5	42.6
12.6	40.4
12.7	39.4
12.8	43
12.9	41
13	43.4
13.1	46.2
13.2	51.2
13.3	46.6
13.4	43.4
13.5	38.2
13.6	51.2
13.7	42.4
13.8	44.4
13.9	48
14	42.4
14.1	48.6
14.2	47.4
14.3	48.2
14.4	50.6
14.5	42.4
14.6	48.6
14.7	47.2
14.8	49
14.9	43.4
15	51.6
15.1	52.6
15.2	47.2
15.3	50.8
15.4	49.2
15.5	51.6
15.6	47.2
15.7	46.2
15.8	42
15.9	44.6
16	46.8
16.1	49.4
16.2	45.4
16.3	48
16.4	42.8
16.5	47
16.6	47.2
16.7	46
16.8	45
16.9	46.6
17	45.8
17.1	47
17.2	48.4
17.3	59.8
17.4	54.4
17.5	56
17.6	81.8
17.7	109.6
17.8	115
17.9	76.8
18	53.6
18.1	45.6
18.2	48.8
18.3	45.4
18.4	44.4
18.5	44.8
18.6	43.6
18.7	49.6
18.8	45.6
18.9	42.6
19	43
19.1	44.6
19.2	46.8
19.3	47.8
19.4	44.6
19.5	42.6
19.6	49.4
19.7	48.4
19.8	79.6
19.9	161.8
20	257
20.1	260.2
20.2	146
20.3	73.8
20.4	43.8
20.5	41.2
20.6	34.2
20.7	38.4
20.8	35.8
20.9	41
21	42.2
21.1	38
21.2	40
21.3	34.2
21.4	33.6
21.5	34.8
21.6	35.4
21.7	35.8
21.8	32.8
21.9	32
22	38.6
22.1	33.8
22.2	30.2
22.3	27.8
22.4	32.2
22.5	36.4
22.6	33.2
22.7	30
22.8	28.8
22.9	29.8
23	31.8
23.1	35.6
23.2	31
23.3	33.8
23.4	32.8
23.5	32.8
23.6	38
23.7	30.2
23.8	44.4
23.9	67.2
24	68.8
24.1	53.8
24.2	33.4
24.3	30.2
24.4	26.2
24.5	28.8
24.6	26.2
24.7	25.6
24.8	31
24.9	25
25	25
25.1	25.2
25.2	29.8
25.3	24.8
25.4	22.6
25.5	23.2
25.6	24.2
25.7	24
25.8	25.2
25.9	28
26	24
26.1	25.6
26.2	25.2
26.3	28.8
26.4	26.4
26.5	27.2
26.6	26.6
26.7	20.6
26.8	30
26.9	57
27	116
27.1	159
27.2	135.6
27.3	83.4
27.4	43.4
27.5	27.2
27.6	20.6
27.7	25
27.8	21.8
27.9	18.6
28	15.4
28.1	17.2
28.2	20.4
28.3	18.6
28.4	17
28.5	19.8
28.6	15.8
28.7	19.8
28.8	18.2
28.9	20.8
29	17.4
29.1	19.6
29.2	18.4
29.3	15.8
29.4	17.6
29.5	19
29.6	19.6
29.7	20.8
29.8	17.6
29.9	20.6
30	18.8
30.1	18.2
30.2	11.2
30.3	19.8
30.4	22.6
30.5	24.2
30.6	19.8
30.7	17
30.8	16
30.9	15.4
31	16.2
31.1	13.8
31.2	14.4
31.3	13.2
31.4	14
31.5	19.2
31.6	15.2
31.7	14.8
31.8	12.8
31.9	13.2
32	14.8
32.1	17
32.2	15.6
32.3	11.4
32.4	13.6
32.5	12.2
32.6	16
32.7	15
32.8	13.8
32.9	14.6
33	11
33.1	11.4
33.2	15.2
33.3	12.6
33.4	13.8
33.5	11.8
33.6	13.6
33.7	12
33.8	13
33.9	10.4
34	12.2
34.1	12.6
34.2	12.4
34.3	11.6
34.4	19.2
34.5	25.2
34.6	34.6
34.7	32.2
34.8	27.2
34.9	25
35	16.2
