angle1	rate1	angle2	rate2	angle3	rate3	angle4	rate4	angle5	rate5
13.8	172	13.8	155	13.8	188	13.8	159	13.8	131
13.9	157	13.9	156	13.9	139	13.9	162	13.9	123
14	153	14	159	14	184	14	131	14	131
14.1	132	14.1	150	14.1	150	14.1	167	14.1	119
14.2	141	14.2	151	14.2	164	14.2	145	14.2	130
14.3	150	14.3	150	14.3	125	14.3	159	14.3	120
14.4	164	14.4	126	14.4	135	14.4	123	14.4	106
14.5	128	14.5	133	14.5	162	14.5	157	14.5	128
14.6	148	14.6	125	14.6	139	14.6	132	14.6	123
14.7	134	14.7	137	14.7	153	14.7	121	14.7	115
14.8	143	14.8	99	14.8	137	14.8	131	14.8	119
14.9	143	14.9	107	14.9	150	14.9	130	14.9	104
15	132	15	127	15	174	15	124	15	123
15.1	137	15.1	119	15.1	150	15.1	133	15.1	113
15.2	120	15.2	112	15.2	132	15.2	134	15.2	108
15.3	137	15.3	111	15.3	122	15.3	111	15.3	111
15.4	122	15.4	117	15.4	117	15.4	98	15.4	100
15.5	125	15.5	139	15.5	131	15.5	119	15.5	113
15.6	116	15.6	111	15.6	116	15.6	125	15.6	96
15.7	104	15.7	114	15.7	128	15.7	124	15.7	103
15.8	97	15.8	104	15.8	123	15.8	111	15.8	131
15.9	122	15.9	100	15.9	122	15.9	133	15.9	117
16	103	16	106	16	109	16	115	16	107
16.1	115	16.1	107	16.1	127	16.1	116	16.1	102
16.2	124	16.2	111	16.2	131	16.2	121	16.2	106
16.3	118	16.3	118	16.3	125	16.3	114	16.3	102
16.4	109	16.4	104	16.4	125	16.4	112	16.4	103
16.5	117	16.5	101	16.5	114	16.5	98	16.5	89
16.6	115	16.6	102	16.6	116	16.6	101	16.6	111
16.7	127	16.7	102	16.7	109	16.7	114	16.7	96
16.8	120	16.8	112	16.8	119	16.8	106	16.8	103
16.9	130	16.9	98	16.9	121	16.9	90	16.9	80
17	103	17	97	17	105	17	112	17	108
17.1	91	17.1	94	17.1	99	17.1	96	17.1	104
17.2	123	17.2	109	17.2	101	17.2	87	17.2	97
17.3	99	17.3	91	17.3	102	17.3	104	17.3	100
17.4	100	17.4	100	17.4	111	17.4	99	17.4	94
17.5	103	17.5	92	17.5	110	17.5	97	17.5	94
17.6	101	17.6	103	17.6	126	17.6	97	17.6	107
17.7	117	17.7	93	17.7	144	17.7	107	17.7	100
17.8	116	17.8	99	17.8	156	17.8	110	17.8	123
17.9	115	17.9	103	17.9	174	17.9	123	17.9	126
18	135	18	125	18	222	18	154	18	176
18.1	144	18.1	130	18.1	276	18.1	176	18.1	180
18.2	157	18.2	153	18.2	297	18.2	241	18.2	231
18.3	239	18.3	223	18.3	201	18.3	244	18.3	205
18.4	287	18.4	218	18.4	134	18.4	163	18.4	127
18.5	203	18.5	161	18.5	115	18.5	108	18.5	109
18.6	133	18.6	120	18.6	125	18.6	105	18.6	104
18.7	91	18.7	99	18.7	131	18.7	99	18.7	83
18.8	107	18.8	97	18.8	93	18.8	108	18.8	72
18.9	115	18.9	58	18.9	98	18.9	91	18.9	84
19	109	19	97	19	107	19	84	19	97
19.1	89	19.1	107	19.1	104	19.1	86	19.1	102
19.2	96	19.2	102	19.2	116	19.2	109	19.2	100
19.3	108	19.3	76	19.3	108	19.3	94	19.3	94
19.4	100	19.4	109	19.4	115	19.4	89	19.4	83
19.5	99	19.5	110	19.5	87	19.5	87	19.5	107
19.6	90	19.6	94	19.6	98	19.6	101	19.6	90
19.7	105	19.7	97	19.7	108	19.7	100	19.7	93
19.8	101	19.8	122	19.8	104	19.8	100	19.8	102
19.9	92	19.9	87	19.9	88	19.9	98	19.9	83
20	102	20	87	20	117	20	97	20	89
20.1	101	20.1	90	20.1	132	20.1	87	20.1	90
20.2	100	20.2	102	20.2	191	20.2	115	20.2	121
20.3	109	20.3	101	20.3	275	20.3	130	20.3	150
20.4	139	20.4	130	20.4	529	20.4	222	20.4	270
20.5	192	20.5	192	20.5	740	20.5	441	20.5	436
